player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points
283,107822,2017,45,42,883,0,2,1,19,0,0,0,1,0,0,3,0.000000,29
283,107822,2018,55,51,613,0,1,0,14,0,0,0,0,0,0,1,0.000000,15
283,107822,2019,50,48,900,1,0,5,11,0,0,0,0,0,0,6,0.000000,48
283,107822,2020,55,56,2355,2,1,10,37,1,0,0,7,0,0,17,0.000000,106
283,107822,2021,55,54,2374,0,1,8,36,0,0,0,3,0,0,8,0.000000,83
283,107822,2022,50,49,1674,0,1,2,34,0,0,0,2,0,0,0,0.000000,36
283,107822,2023,45,52,2415,4,1,6,42,0,0,0,1,0,0,3,1763.254710,93
283,107822,2025,45,44,1080,0,1,2,22,0,0,0,1,0,0,2,0.000000,28
