player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points
48,20663,2019,45,43,2154,2,5,6,40,0,0,0,2,0,0,3,0.000000,89
48,20663,2020,50,53,2698,2,3,8,45,0,0,0,1,0,0,9,0.000000,104
48,20663,2021,50,51,2671,2,3,8,39,0,0,0,2,0,0,3,0.000000,102
48,20663,2022,55,63,2700,5,4,9,34,0,0,0,2,0,0,9,0.000000,136
48,20663,2023,60,59,1690,1,4,2,30,0,0,0,0,0,0,2,1125.731487,57
48,20663,2025,55,55,716,0,0,2,14,0,0,0,0,0,0,0,0.000000,23
