player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points
8,1965455,2023,65,63,1177,5,2,4,23,0,0,0,1,1,0,4,760.940174,53
8,1965455,2024,100,103,1086,12,2,4,11,0,0,0,1,0,0,12,0.000000,97
8,1965455,2025,105,111,2049,17,6,12,20,0,0,0,0,0,0,26,0.000000,164
