id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Runde 1,2026-03-14T15:10:00Z,48,115,True,True,False,False,False
2,Runde 2,2026-03-21T14:55:00Z,37,89,True,True,False,False,False
3,Runde 3,2026-04-06T12:25:00Z,54,122,True,True,False,False,False
4,Runde 4,2026-04-11T11:55:00Z,79,171,True,True,False,False,False
5,Runde 5,2026-04-18T11:55:00Z,53,111,True,True,False,False,False
6,Runde 6,2026-04-25T13:55:00Z,68,131,True,True,False,False,False
7,Runde 7,2026-05-01T15:55:00Z,55,128,True,True,False,False,False
8,Runde 8,2026-05-08T16:55:00Z,42,98,True,True,False,False,False
9,Runde 9,2026-05-16T11:55:00Z,81,166,True,True,False,False,False
10,Runde 10,2026-05-24T13:55:00Z,41,82,True,True,False,False,False
11,Runde 11,2026-05-29T16:55:00Z,45,92,True,True,False,False,False
12,Runde 13,2026-07-11T11:55:00Z,43,93,True,True,True,False,False
13,Runde 14,2026-07-16T16:55:00Z,64,139,True,True,False,True,False
14,Runde 15,2026-07-25T13:55:00Z,0,,False,False,False,False,True
15,Runde 16,2026-07-31T16:55:00Z,0,,False,False,False,False,False
16,Runde 17,2026-08-07T16:55:00Z,0,,False,False,False,False,False
17,Runde 18,2026-08-14T16:55:00Z,0,,False,False,False,False,False
18,Runde 19,2026-08-29T13:55:00Z,0,,False,False,False,False,False
19,Runde 20,2026-09-04T16:55:00Z,0,,False,False,False,False,False
20,Runde 21,2026-09-12T13:55:00Z,0,,False,False,False,False,False
21,Runde 22,2026-09-18T16:55:00Z,0,,False,False,False,False,False
22,Runde 23,2026-10-11T14:55:00Z,0,,False,False,False,False,False
23,Runde 24,2026-10-18T14:55:00Z,0,,False,False,False,False,False
24,Runde 12,2026-10-25T15:55:00Z,0,,False,False,False,False,False
25,Runde 25,2026-11-01T15:55:00Z,0,,False,False,False,False,False
26,Runde 26,2026-11-08T15:55:00Z,0,,False,False,False,False,False
27,Runde 27,2026-11-22T15:55:00Z,0,,False,False,False,False,False
28,Runde 28,2026-11-29T15:55:00Z,0,,False,False,False,False,False
29,Runde 29,2026-12-06T15:55:00Z,0,,False,False,False,False,False
30,Runde 30,2026-12-13T15:55:00Z,0,,False,False,False,False,False
