team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,15,Aalesund,AaFK,,,,,,,
2,4,Bodø/Glimt,B/G,,,,,,,
3,298,Brann,BRA,,,,,,,
4,117,Fredrikstad,FFK,,,,,,,
5,63,HamKam,HAM,,,,,,,
6,306,KFUM Oslo,KFUM,,,,,,,
7,785,Kristiansund,KBK,,,,,,,
8,177,Lillestrøm,LSK,,,,,,,
9,3,Molde,MOL,,,,,,,
10,145,Rosenborg,RBK,,,,,,,
11,195,Sandefjord,SAN,,,,,,,
12,797,Sarpsborg 08,S08,,,,,,,
13,261,Start,STA,,,,,,,
14,2,Tromsø,TIL,,,,,,,
15,198,Viking,VIK,,,,,,,
16,169882,Vålerenga,VIF,,,,,,,
17,205,Bryne,Bryne,,,,,,,
18,475,Egersund,Egersund,,,,,,,
19,202,Haugesund,Haugesund,,,,,,,
20,171,Hødd,Hødd,,,,,,,
21,5,Kongsvinger,Kongsvinger,,,,,,,
22,161785,Lyn,Lyn,,,,,,,
23,120,Moss,Moss,,,,,,,
24,270,Odd,Odd,,,,,,,
25,133568,Ranheim TF,Ranheim TF,,,,,,,
26,59,Raufoss,Raufoss,,,,,,,
27,208313,Sandnes Ulf,Sandnes Ulf,,,,,,,
28,107,Sogndal,Sogndal,,,,,,,
29,269,Stabæk,Stabæk,,,,,,,
30,184,Strømmen,Strømmen,,,,,,,
31,816,Strømsgodset,Strømsgodset,,,,,,,
32,126,Åsane,Åsane,,,,,,,
