type,gw,position,player_id,opta_id,name,player_position,points,is_top_player
gw,1,1,383,2050550,Oscar Hedvall,GK,15,False
gw,1,2,127,1634666,Sander Sjökvist,DEF,10,False
gw,1,3,319,1660513,Tobias Guddal,DEF,10,False
gw,1,4,190,1589895,Halldor Stenevik,DEF,9,False
gw,1,5,324,1816761,Jens Hjertø-Dahl,MID,21,True
gw,1,6,384,2051483,Promise Meliga,MID,13,False
gw,1,7,325,180293,Ruben Yttergård Jenssen,MID,11,False
gw,1,8,193,1601181,Emil Varhaugvik Breivik,MID,11,False
gw,1,9,373,2017587,Carl Lange,MID,10,False
gw,1,10,183,47482,Thomas Lehne Olsen,FWD,11,False
gw,1,11,100,7544,Henrik Udahl,FWD,9,False
gw,10,1,88,1757695,Marcus Sandberg,GK,7,False
gw,10,2,122,1708342,Daniel Schneider,DEF,15,False
gw,10,3,294,2027538,Omar Jebali,DEF,14,False
gw,10,4,344,1704717,Henrik Falchener,DEF,11,False
gw,10,5,317,1718369,Sander Håvik Innvær,DEF,10,False
gw,10,6,106,1713289,Brage Skaret,DEF,9,False
gw,10,7,92,1701180,Aksel Potur,MID,16,True
gw,10,8,17,1677946,Håkon Evjen,MID,15,False
gw,10,9,116,1637491,Teodor Berg Haltvik,MID,10,False
gw,10,10,359,1703697,Simen Kvia-Egeskog,MID,9,False
gw,10,11,141,1653564,Leander Næss Alvheim,FWD,7,False
gw,11,1,115,1616887,Emil Ødegaard,GK,7,False
gw,11,2,55,1572205,Daniel Eid,DEF,14,True
gw,11,3,109,72830,Fredrik Berglie,DEF,9,False
gw,11,4,124,1572189,Eirik Saunes,DEF,8,False
gw,11,5,260,1468007,Sondre Sørli,MID,13,False
gw,11,6,197,133035,Eirik Hestad,MID,11,False
gw,11,7,440,1945154,Patrick Robert Metcalfe,MID,10,False
gw,11,8,373,2017587,Carl Lange,MID,9,False
gw,11,9,8,1965455,Kasper Høgh,FWD,13,False
gw,11,10,218,1886317,Dino Islamovic,FWD,12,False
gw,11,11,419,1900515,Marcus Haagensen Reed,FWD,9,False
gw,12,1,273,1568480,Leander Øy,GK,9,False
gw,12,2,235,163662,Jonas Svensson,DEF,12,False
gw,12,3,285,1624129,Claus Niyukuri,DEF,11,False
gw,12,4,320,1637738,Vetle Skjærvik,DEF,9,False
gw,12,5,318,1618096,Leo Cornic,DEF,9,False
gw,12,6,336,1727392,Heine Åsen Larsen,MID,15,True
gw,12,7,180,1793725,Gustav Nyheim,MID,11,False
gw,12,8,324,1816761,Jens Hjertø-Dahl,MID,11,False
gw,12,9,92,1701180,Aksel Potur,MID,10,False
gw,12,10,197,133035,Eirik Hestad,MID,10,False
gw,12,11,45,1619032,Noah Holm,FWD,7,False
gw,13,1,10,1865861,Nikita Haikin,GK,12,False
gw,13,2,2,1556766,Odin Bjørtuft,DEF,15,False
gw,13,3,44,2032537,Denzel De Roeve,DEF,14,False
gw,13,4,1,1577305,Fredrik André Bjørkan,DEF,12,False
gw,13,5,5,1728666,Fredrik Sjøvold,DEF,12,False
gw,13,6,378,1802439,Filip Thorvaldsen,MID,18,True
gw,13,7,237,2060228,Amin Chiakha,MID,15,False
gw,13,8,371,1575610,Henrik Bjørdal,MID,14,False
gw,13,9,363,1676656,Kristoffer Askildsen,MID,14,False
gw,13,10,360,91490,Zlatko Tripic,MID,14,False
gw,13,11,7,1613544,Andreas Helmersen,FWD,14,False
gw,2,1,272,1997548,Mamour Ndiaye,GK,8,False
gw,2,2,346,1662744,Henrik Heggheim,DEF,16,True
gw,2,3,385,312482,Ivan Näsberg,DEF,15,False
gw,2,4,330,2050681,Alexander Warneryd,DEF,14,False
gw,2,5,315,1553018,Erlend Dahl Reitan,DEF,11,False
gw,2,6,386,2060135,Kolbeinn Finnsson,DEF,11,False
gw,2,7,357,1814041,Niklas Fuglestad,MID,13,False
gw,2,8,373,2017587,Carl Lange,MID,10,False
gw,2,9,64,2027187,Rocco Shein,MID,10,False
gw,2,10,260,1468007,Sondre Sørli,MID,10,False
gw,2,11,414,1671654,Kristian Lonebu,FWD,7,False
gw,3,1,353,97901,Arild Østbø,GK,6,False
gw,3,2,1,1577305,Fredrik André Bjørkan,DEF,15,True
gw,3,3,5,1728666,Fredrik Sjøvold,DEF,12,False
gw,3,4,330,2050681,Alexander Warneryd,DEF,10,False
gw,3,5,15,1660385,Ole Didrik Blomberg,MID,13,False
gw,3,6,336,1727392,Heine Åsen Larsen,MID,11,False
gw,3,7,402,1579692,Henrik Melland,MID,11,False
gw,3,8,63,2025293,Oskar Øhlenschlæger,MID,11,False
gw,3,9,324,1816761,Jens Hjertø-Dahl,MID,10,False
gw,3,10,31,114647,Bård Finne,FWD,12,False
gw,3,11,45,1619032,Noah Holm,FWD,11,False
gw,4,1,322,1937139,Jakob Rønning Haugaard,GK,20,True
gw,4,2,319,1660513,Tobias Guddal,DEF,15,False
gw,4,3,163,1618145,Lars Ranger,DEF,12,False
gw,4,4,321,1772935,Isak Vådebu,DEF,12,False
gw,4,5,330,2050681,Alexander Warneryd,DEF,12,False
gw,4,6,55,1572205,Daniel Eid,DEF,11,False
gw,4,7,171,1661628,Markus Karlsbakk,MID,19,False
gw,4,8,193,1601181,Emil Varhaugvik Breivik,MID,15,False
