player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points,now_cost,selected_by_percent
13,1534602,Daniel,Bassi,Bassi,,8,177,Lillestrøm,LSK,3,MID,a,,242,0,1,0,7,0,0,0,0,0,0,0,0.000000,14,65,0.2
14,291448,Patrick,Berg,Berg,,2,4,Bodø/Glimt,B/G,3,MID,a,,1437,2,2,8,13,0,0,0,1,0,0,13,0.000000,69,91,13.1
15,1660385,Ole Didrik,Blomberg,Blomberg,,2,4,Bodø/Glimt,B/G,3,MID,a,,1439,5,6,11,11,0,0,0,2,0,0,6,0.000000,95,98,11.5
16,1612262,Sondre,Brunstad Fet,Fet,,2,4,Bodø/Glimt,B/G,3,MID,a,,1163,4,4,7,9,0,0,0,1,0,0,5,0.000000,73,81,3.1
17,1677946,Håkon,Evjen,Evjen,,2,4,Bodø/Glimt,B/G,3,MID,i,Kne - Forventet tilbake 11. oktober,745,5,2,5,7,0,0,0,1,0,0,12,0.000000,68,80,6.3
18,1602490,Jens Petter,Hauge,Hauge,,2,4,Bodø/Glimt,B/G,3,MID,a,,1005,4,2,7,7,0,0,0,1,0,0,2,0.000000,62,104,14.6
19,1701315,Isak,Dybvik Määttä,Määttä,,2,4,Bodø/Glimt,B/G,3,MID,a,,854,1,0,6,7,0,0,0,0,0,0,4,0.000000,42,65,0.2
20,169661,Ulrik,Saltnes,Saltnes,,2,4,Bodø/Glimt,B/G,3,MID,a,,167,0,0,1,2,0,0,0,0,0,0,0,0.000000,10,79,0.5
21,43126,Haitam,Aleesami,Aleesami,,2,4,Bodø/Glimt,B/G,2,DEF,i,Legg - Forventet tilbake 20. september,1040,1,0,7,7,0,0,0,0,0,0,5,0.000000,61,55,2.2
22,1754358,Magnus,Riisnæs,Riisnæs,,2,4,Bodø/Glimt,B/G,2,DEF,i,Kne - Forventet tilbake 25. oktober,23,0,0,0,0,0,0,0,0,0,0,0,0.000000,3,55,0.9
