fixture_id,fixture_opta_id,gameweek,team_h_id,team_h_opta_id,team_h_name,team_h_short_name,team_a_id,team_a_opta_id,team_a_name,team_a_short_name,team_h_score,team_a_score,kickoff_time,finished,started,team_h_difficulty,team_a_difficulty
1,8986129,1,5,63,HamKam,HAM,15,198,Viking,VIK,2,1,2026-03-14T15:00:00Z,True,True,,
2,8986132,1,9,3,Molde,MOL,10,145,Rosenborg,RBK,2,0,2026-03-14T17:00:00Z,True,True,,
3,8986131,1,7,785,Kristiansund,KBK,3,298,Brann,BRA,3,2,2026-03-15T13:30:00Z,True,True,,
4,8986136,1,1,15,Aalesund,AaFK,8,177,Lillestrøm,LSK,1,3,2026-03-15T16:00:00Z,True,True,,
7,8986130,1,6,306,KFUM Oslo,KFUM,13,261,Start,STA,2,0,2026-03-15T16:00:00Z,True,True,,
6,8986135,1,16,169882,Vålerenga,VIF,11,195,Sandefjord,SAN,1,0,2026-03-15T16:00:00Z,True,True,,
8,8986134,1,14,2,Tromsø,TIL,4,117,Fredrikstad,FFK,4,0,2026-03-15T18:15:00Z,True,True,,
9,8986143,2,13,261,Start,STA,1,15,Aalesund,AaFK,1,1,2026-03-21T15:00:00Z,True,True,,
10,8986144,2,15,198,Viking,VIK,9,3,Molde,MOL,4,1,2026-03-21T17:00:00Z,True,True,,
11,8986141,2,10,145,Rosenborg,RBK,16,169882,Vålerenga,VIF,0,2,2026-03-22T13:30:00Z,True,True,,
12,8986138,2,3,298,Brann,BRA,14,2,Tromsø,TIL,1,2,2026-03-22T16:00:00Z,True,True,,
14,8986139,2,4,117,Fredrikstad,FFK,6,306,KFUM Oslo,KFUM,3,1,2026-03-22T16:00:00Z,True,True,,
13,8986142,2,11,195,Sandefjord,SAN,12,797,Sarpsborg 08,S08,0,2,2026-03-22T16:00:00Z,True,True,,
17,8986151,3,16,169882,Vålerenga,VIF,15,198,Viking,VIK,0,1,2026-04-06T12:30:00Z,True,True,,
19,8986145,3,5,63,HamKam,HAM,3,298,Brann,BRA,1,5,2026-04-06T15:00:00Z,True,True,,
21,8986147,3,7,785,Kristiansund,KBK,2,4,Bodø/Glimt,B/G,0,3,2026-04-06T15:00:00Z,True,True,,
18,8986148,3,9,3,Molde,MOL,8,177,Lillestrøm,LSK,0,1,2026-04-06T15:00:00Z,True,True,,
20,8986149,3,12,797,Sarpsborg 08,S08,13,261,Start,STA,1,1,2026-04-06T15:00:00Z,True,True,,
22,8986150,3,14,2,Tromsø,TIL,10,145,Rosenborg,RBK,2,0,2026-04-06T17:15:00Z,True,True,,
24,8986152,3,1,15,Aalesund,AaFK,4,117,Fredrikstad,FFK,2,3,2026-04-07T17:00:00Z,True,True,,
23,8986146,3,6,306,KFUM Oslo,KFUM,11,195,Sandefjord,SAN,1,2,2026-04-07T17:00:00Z,True,True,,
25,8986155,4,8,177,Lillestrøm,LSK,13,261,Start,STA,3,1,2026-04-11T12:00:00Z,True,True,,
26,8986158,4,14,2,Tromsø,TIL,7,785,Kristiansund,KBK,2,0,2026-04-11T14:00:00Z,True,True,,
27,8986159,4,15,198,Viking,VIK,2,4,Bodø/Glimt,B/G,5,0,2026-04-11T16:00:00Z,True,True,,
28,8986157,4,10,145,Rosenborg,RBK,12,797,Sarpsborg 08,S08,2,1,2026-04-12T12:30:00Z,True,True,,
30,8986160,4,1,15,Aalesund,AaFK,6,306,KFUM Oslo,KFUM,2,2,2026-04-12T15:00:00Z,True,True,,
31,8986154,4,4,117,Fredrikstad,FFK,16,169882,Vålerenga,VIF,1,1,2026-04-12T15:00:00Z,True,True,,
29,8986156,4,9,3,Molde,MOL,5,63,HamKam,HAM,4,1,2026-04-12T15:00:00Z,True,True,,
32,8986153,4,3,298,Brann,BRA,11,195,Sandefjord,SAN,0,1,2026-04-12T17:15:00Z,True,True,,
5,8986133,4,12,797,Sarpsborg 08,S08,2,4,Bodø/Glimt,B/G,1,1,2026-04-15T17:00:00Z,True,True,,
33,8986247,4,14,2,Tromsø,TIL,8,177,Lillestrøm,LSK,0,0,2026-04-15T17:00:00Z,True,True,,
